
INFO Tue Jun 27 08:31:09 CEST 2023 JVM version: 1.8.0_121 Heap size: total: 573046784B, max: 1398276096B, free: 371374288B, nr cores: 4, using: 1
INFO: doing warm-up run...
...warm-up done!
CONFIGS baseline	lazy	nuxmv
CONFIG nuxmv IS SolveSatisfy --timeout 30000 --backend nuxmv --nr-unknown-to-start-materialise 6 --restart-timeout-factor 500 
CONFIG baseline IS SolveSatisfy --timeout 30000 --backend baseline --nr-unknown-to-start-materialise 6 --restart-timeout-factor 500 
CONFIG lazy IS SolveSatisfy --timeout 30000 --backend lazy --nr-unknown-to-start-materialise 6 --restart-timeout-factor 500 
TIMEOUT 30000
HARD TIMEOUT 18600000 milliseconds FOR ALL
RESULT ../../../anonymous/deduped-benchmarks/27825.par	t30.028188149	s21.22216406	t30.021834242
RESULT ../../../anonymous/deduped-benchmarks/27757.par	u5.643759615	u0.722455639	t30.029294448
RESULT ../../../anonymous/deduped-benchmarks/2768.par	t30.011506887	t32.810619614	t30.02697745
RESULT ../../../anonymous/deduped-benchmarks/27639.par	u5.308126323	u0.82695255	t30.032497031
RESULT ../../../anonymous/deduped-benchmarks/27647.par	u11.644304495	u0.751285799	u27.671356377
RESULT ../../../anonymous/deduped-benchmarks/28092.par	t30.00127913	u1.690592833	t30.048919802
RESULT ../../../anonymous/deduped-benchmarks/27837.par	t30.001049307	u4.08679708	u1.456329182
RESULT ../../../anonymous/deduped-benchmarks/27662.par	u4.054233168	u0.73118307	t30.030307615
RESULT ../../../anonymous/deduped-benchmarks/27943.par	t30.003336237	u1.640535804	t30.052924293
RESULT ../../../anonymous/deduped-benchmarks/27880.par	t30.03977471	t33.249962699	t30.019261632
RESULT ../../../anonymous/deduped-benchmarks/280.par	t30.019868803	s2.990718056	s2.977800863
RESULT ../../../anonymous/deduped-benchmarks/27876.par	t30.038899156	t32.781630656	t30.026727054
RESULT ../../../anonymous/deduped-benchmarks/27701.par	u4.257395682	u0.791700855	t30.034430124
RESULT ../../../anonymous/deduped-benchmarks/27740.par	u4.004084342	u0.720008169	u19.632160586
RESULT ../../../anonymous/deduped-benchmarks/27958.par	t30.008014163	u1.595163492	t30.064476326
RESULT ../../../anonymous/deduped-benchmarks/27845.par	t30.060393146	t32.981868333	t30.024668042
RESULT ../../../anonymous/deduped-benchmarks/2784.par	t30.037568614	t32.79644866	t30.022679277
RESULT ../../../anonymous/deduped-benchmarks/27808.par	t30.005685936	t32.661769574	t30.017970261
RESULT ../../../anonymous/deduped-benchmarks/27713.par	u7.349491179	u0.776723886	u11.051888511
RESULT ../../../anonymous/deduped-benchmarks/27712.par	u4.451134203	u0.741855866	t30.03463666
RESULT ../../../anonymous/deduped-benchmarks/27709.par	u10.437061724	u0.768233224	t30.035400418
RESULT ../../../anonymous/deduped-benchmarks/27753.par	u11.826692904	u0.749729389	u14.939837462
RESULT ../../../anonymous/deduped-benchmarks/27744.par	u5.598719762	u0.791232331	t30.047275922
RESULT ../../../anonymous/deduped-benchmarks/28034.par	t30.016225107	t33.387920984	t30.023323269
RESULT ../../../anonymous/deduped-benchmarks/27840.par	t30.036483968	u0.712613695	u12.830279966
RESULT ../../../anonymous/deduped-benchmarks/27734.par	u3.784582945	u0.774987332	t30.03792261
RESULT ../../../anonymous/deduped-benchmarks/27996.par	u6.420314103	u0.313206991	u18.646353757
RESULT ../../../anonymous/deduped-benchmarks/28000.par	t30.001561643	u0.244356405	u1.031743944
RESULT ../../../anonymous/deduped-benchmarks/2793.par	t30.004131627	s15.03714801	t30.023693883
RESULT ../../../anonymous/deduped-benchmarks/27849.par	t30.012394398	t33.312298697	t30.024138064
RESULT ../../../anonymous/deduped-benchmarks/27933.par	t30.001737585	u1.536977377	t30.051032834
RESULT ../../../anonymous/deduped-benchmarks/2787.par	t30.014639613	t32.664858587	t30.021782583
RESULT ../../../anonymous/deduped-benchmarks/27984.par	t30.012663351	t33.33874541	t30.035055861
RESULT ../../../anonymous/deduped-benchmarks/28086.par	t30.007511106	u1.567461782	t30.052216219
RESULT ../../../anonymous/deduped-benchmarks/27945.par	t30.016855442	u1.522112824	t30.047183505
RESULT ../../../anonymous/deduped-benchmarks/27866.par	t30.025256353	t32.587726914	t30.024146783
RESULT ../../../anonymous/deduped-benchmarks/2800.par	t30.004153903	t32.504753234	t30.015830778
RESULT ../../../anonymous/deduped-benchmarks/27735.par	u10.622431084	u0.757617153	t30.032561701
RESULT ../../../anonymous/deduped-benchmarks/27850.par	u4.368740889	u0.584579364	t30.026338406
RESULT ../../../anonymous/deduped-benchmarks/28047.par	t30.005242804	u1.60414953	t30.043008809
RESULT ../../../anonymous/deduped-benchmarks/27798.par	t30.013383582	s1.805458774	s8.944641822
RESULT ../../../anonymous/deduped-benchmarks/27595.par	t30.03072875	t32.885750268	t30.020403595
RESULT ../../../anonymous/deduped-benchmarks/27793.par	t30.001369389	u0.740548636	u14.12510641
RESULT ../../../anonymous/deduped-benchmarks/27939.par	t30.00579075	u1.646612378	t30.056217663
INFO Tue Jun 27 11:47:30 CEST 2023 Executed 600 experiments with 3 configurations and 200 instances in 11770.829609412.
INFO Tue Jun 27 11:47:36 CEST 2023 JVM version: 1.8.0_121 Heap size: total: 275775488B, max: 1398276096B, free: 139247896B, nr cores: 4, using: 1
INFO: doing warm-up run...
...warm-up done!
CONFIGS baseline	lazy	nuxmv
CONFIG nuxmv IS SolveSatisfy --timeout 30000 --backend nuxmv --nr-unknown-to-start-materialise 6 --restart-timeout-factor 500 
CONFIG baseline IS SolveSatisfy --timeout 30000 --backend baseline --nr-unknown-to-start-materialise 6 --restart-timeout-factor 500 
CONFIG lazy IS SolveSatisfy --timeout 30000 --backend lazy --nr-unknown-to-start-materialise 6 --restart-timeout-factor 500 
TIMEOUT 30000
HARD TIMEOUT 18600000 milliseconds FOR ALL
RESULT ../../../anonymous/deduped-benchmarks/28445.par	t30.061100531	t32.895010033	t30.024159625
